skjemanavn;navn_i_rapporteket;ledetekst;obligatorisk;type;listeverdier;listetekst;normalintervall_start_numerisk;normalintervall_slutt_numerisk;maksintervall_start_numerisk;maksintervall_slutt_numerisk;normalintervall_start_dato;normalintervall_slutt_dato;maksintervall_start_dato;maksintervall_slutt_dato;antall_tegn;lovlige_tegn;desimaler;aktiveringsspoersmaal;underspoersmaal;innfoert_dato;utfaset_dato;tabell;fysisk_feltnavn;kommentar;variabel_id;hjelpetekst
Personopplysninger;PasientID;PID;Ja;Tekstvariabel;;;;;;;;;;;11;1234567890;;Nei;Nei;01.01.1980;;patient;ID;;PATIENT_ID;Pasient ID - automatisk løpenummer i databasen.
Personopplysninger;;Dato for innhenting av opplysninger;Ja;Datovariabel;;;;;;;;;'1980-01-01';today;;;;Nei;Nei;01.01.1980;;patient;REGISTERED_DATE;;PATIENT_REGISTERED_DATE;Skriv inn dato for innhentings tidspunkt for opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23
Personopplysninger;Ikke overført;Fødselsnummer;Ja;Tekstvariabel;;;;;;;;;;;11;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;Nei;Nei;01.01.1980;;patient;SSN;;PATIENT_SSN;Skriv inn fødselsnummer, 11 siffer. Følgende format for fødselsnummer: ddmmyyxxxxx
Personopplysninger;Ikke overført;Etternavn;Ja;Tekstvariabel;;;;;;;;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;Nei;Nei;01.01.1980;;patient;LASTNAME;;PATIENT_LASTNAME;Skriv inn personens etternavn, maks 120 tegn.
Personopplysninger;Ikke overført;Fornavn;Ja;Tekstvariabel;;;;;;;;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;Nei;Nei;01.01.1980;;patient;FIRSTNAME;;PATIENT_FIRSTNAME;Skriv inn personens fornavn og mellomnavn, max 120 tegn.
Personopplysninger;;Fødselsdato;Ja;Datovariabel;;;;;;;;;'1900-01-01';today;;;;Nei;Nei;01.01.1980;;patient;BIRTH_DATE;;PATIENT_BIRTH_DATE;Pasientens fødselsdato. Dato skrives på formatet yyyy-mm-dd (eller bare yyyymmdd). Skriver du inn kun dag (dd), så autoutfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autoutfylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23
Personopplysninger;;Kjønn;Ja;Listevariabel;1;Mann;;;;;;;;;;;;Nei;Nei;01.01.1980;;patient;GENDER;;PATIENT_GENDER;Angi pasientens kjønn
Personopplysninger;;Kjønn;Ja;Listevariabel;2;Kvinne;;;;;;;;;;;;Nei;Nei;01.01.1980;;patient;GENDER;;PATIENT_GENDER;Angi pasientens kjønn
Personopplysninger;;Avdød;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Ja;Nei;01.01.1980;;patient;DECEASED;;PATIENT_DECEASED;Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes.
Personopplysninger;;Avdød;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Ja;Nei;01.01.1980;;patient;DECEASED;;PATIENT_DECEASED;Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes.
Personopplysninger;;Dødsdato;Ja;Datovariabel;;;;;;;;;'1980-01-01';today;;;;Nei;Ja;01.01.1980;;patient;DECEASED_DATE;;PATIENT_DECEASED_DATE;Skriv inn dato for dødsfall. Dato skrives på formatet yyyy-mm-dd (eller bare yyyymmdd). Skriver du inn kun dag (dd), så autoutfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autoutfylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23
Personopplysninger;;Adressetype;Nei;Listevariabel;1;Norsk;;;;;;;;;;;;Ja;Nei;01.01.1980;;patient;ADDR_TYPE;;PATIENT_ADDR_TYPE;Er det en vanlig enkel norsk postadresse velg type 1, hvis ikke velg type 2 for fritekstadressefelt.
Personopplysninger;;Adressetype;Nei;Listevariabel;2;Annet;;;;;;;;;;;;Ja;Nei;01.01.1980;;patient;ADDR_TYPE;;PATIENT_ADDR_TYPE;Er det en vanlig enkel norsk postadresse velg type 1, hvis ikke velg type 2 for fritekstadressefelt.
Personopplysninger;Ikke overført;Adresse;Nei;Tekstvariabel;;;;;;;;;;;60;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;Nei;Ja;01.01.1980;;patient;ADDRESS;;PATIENT_ADDRESS;Norsk postadresse, gateadresse med nummer, postboks eller liknende. Inntil 60 tegn. For andre eller mer komplisert adresser bruk adressetype 2.
Personopplysninger;Ikke overført;Postnummer og poststed;Ja;Tekstvariabel;;;;;;;;;;;4;1234567890;;Ja;Nei;01.01.1980;;patient;ZIPCODE;;PATIENT_ZIPCODE;Skriv inn personens postnummer, 4 tegn. Poststed hentes automatisk.
Personopplysninger;Ikke overført;Poststed;Nei;Tekstvariabel;;;;;;;;;;;50;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;Ja;Nei;01.01.1980;;patient;TOWN;;PATIENT_TOWN;Poststed tilhørende inntastet postnummer.
Personopplysninger;Ikke overført;Fritekstadresse;Ja;Stor tekstvariabel;;;;;;;;;;;500;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;Nei;Ja;01.01.1980;;patient;FREEFORM_ADDR;;PATIENT_FREEFORM_ADDR;Friform adressefelt inntil 500 tegn. Skriv adressen slik den må skrives for å komme frem i postgang.
Personopplysninger;Ikke overført;Mobilnummer;Nei;Tekstvariabel;;;;;;;;;;;15;1234567890 +-();;Nei;Nei;01.01.1980;;patient;PHONE;;PATIENT_PHONE;Skriv inn pasientens mobilnummer, om dette lar seg gjøre.
Personopplysninger;Ikke overført;Alternativt telefonnummer;Nei;Tekstvariabel;;;;;;;;;;;15;1234567890 +-();;Nei;Nei;01.01.1980;;patient;ALT_PHONE;;PATIENT_ALT_PHONE;Dette kan være pasientens fasttelefonnummer, evt nummer til nære pårørende.
Personopplysninger;Ikke overført;Kommentar;Nei;Stor tekstvariabel;;;;;;;;;;;2000;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;Nei;Nei;01.01.1980;;patient;USERCOMMENT;;PATIENT_USERCOMMENT;Generell fri kommentar, maks 2000 tegn.
Basisskjema;;Registreringsdato;Ja;Datovariabel;;;;;;;;;'1980-01-01';today;;;;Nei;Nei;01.01.1980;;basereg;DATO_BAS;;BASEREG_DATO_BAS;Skriv inn dato for innhenting av opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autofylles nåværende måned og år. Skriver du inn måned og dag (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.2013 er følgende verdier gyldige: 131123, eller 20131123, eller 2013-11-23
Basisskjema;;Høyde;Ja;Tallvariabel;;;50;210;30;250;;;;;3;;0;Nei;Nei;01.01.1980;;basereg;HOYDE;;BASEREG_HOYDE;Pasientens høyde i hele cm
Basisskjema;;Vekt;Ja;Tallvariabel;;;20;200;3;250;;;;;3;;0;Nei;Nei;01.01.1980;;basereg;VEKT;;BASEREG_VEKT;Vekt i kilo uten desimaler.
Basisskjema;;;Nei;Skjult variabel;;;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;BMI;;BASEREG_BMI;
Basisskjema;;;Nei;Skjult variabel;;;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;BMI_CATEGORY;;BASEREG_BMI_CATEGORY;
Basisskjema;;Hypertensjon;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HYPERTONI;;BASEREG_HYPERTONI;
Basisskjema;;Hypertensjon;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HYPERTONI;;BASEREG_HYPERTONI;
Basisskjema;;Hypertensjon;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;HYPERTONI;;BASEREG_HYPERTONI;
Basisskjema;;Diabetes;Ja;Listevariabel;0;Nei;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;DIABETES;;BASEREG_DIABETES;
Basisskjema;;Diabetes;Ja;Listevariabel;1;Ja;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;DIABETES;;BASEREG_DIABETES;
Basisskjema;;Diabetes;Ja;Listevariabel;9;Ukjent;;;;;;;;;;;;Nei;Nei;01.01.1980;;basereg;DIABETES;;BASEREG_DIABETES;
